attrInteger,attrInteger,attrInteger,attrInteger
516552,539,51655200,516553
1838532,412,183853200,1838533
350601,743,35060100,350602
479545,22,47954500,479546
560623,625,56062300,560624
505531,109,50553100,505532
1695070,787,169507000,1695071
350529,378,35052900,350530
1876319,141,187631900,1876320
605847,741,60584700,605848
341496,569,34149600,341497
1881424,351,188142400,1881425
1228094,384,122809400,1228095
667815,609,66781500,667816
434001,842,43400100,434002
1373001,493,137300100,1373002
1345559,518,134555900,1345560
1208016,825,120801600,1208017
1619427,976,161942700,1619428
39239,732,3923900,39240
191824,399,19182400,191825
202616,34,20261600,202617
1720493,284,172049300,1720494
1502579,166,150257900,1502580
1500724,508,150072400,1500725
1561501,98,156150100,1561502
573752,747,57375200,573753
69723,514,6972300,69724
308734,556,30873400,308735
1904251,689,190425100,1904252
1575649,548,157564900,1575650
1898817,253,189881700,1898818
110361,967,11036100,110362
1329638,118,132963800,1329639
1803709,987,180370900,1803710
1940029,36,194002900,1940030
31695,47,3169500,31696
102597,914,10259700,102598
34826,884,3482600,34827
1428524,728,142852400,1428525
1697809,594,169780900,1697810
1845820,646,184582000,1845821
120314,504,12031400,120315
1258746,222,125874600,1258747
1472250,97,147225000,1472251
555462,172,55546200,555463
1549684,992,154968400,1549685
1778041,311,177804100,1778042
1853427,352,185342700,1853428
591405,351,59140500,591406
1323086,237,132308600,1323087
590138,359,59013800,590139
362896,495,36289600,362897
1549963,741,154996300,1549964
140214,185,14021400,140204
406244,144,40624400,406245
502133,837,50213300,502134
1428007,211,142800700,1428008
1338599,248,133859900,1338600
1901597,471,190159700,1901598
778350,779,77835000,778351
418548,55,41854800,418549
1785480,794,178548000,1785481
681263,226,68126300,681264
1944146,716,194414600,1944147
154178,229,15417800,154179
1163158,995,116315800,1163159
534769,369,53476900,534770
443189,429,44318900,443190
105639,966,10563900,105640
1407457,915,140745700,1407458
931668,507,93166800,931669
1866351,655,186635100,1866352
633673,240,63367300,633674
549350,718,54935000,549351
1338290,696,133829000,1338280
285517,236,28551700,285518
1239208,345,123920800,1239209
1428885,746,142888500,1428886
1863921,801,186392100,1863922
1886322,552,188632200,1886323
1948310,390,194831000,1948311
879731,56,87973100,879732
680153,490,68015300,680154
769380,467,76938000,769381
1043479,183,104347900,1043480
1106805,543,110680500,1106806
1138958,334,113895800,1138959
34476,169,3447600,34477
1588971,499,158897100,1588961
1306000,457,130600000,1306001
1725773,94,172577300,1725774
420685,447,42068500,420686
990987,310,99098700,990988
839092,919,83909200,839093
266183,489,26618300,266184
517502,349,51750200,517503
598455,146,59845500,598445
1511936,80,151193600,1511926
1014008,798,101400800,1014009
406496,736,40649600,406497
174711,12,17471100,174712
1789073,182,178907300,1789074
1567959,299,156795900,1567960
1437026,945,143702600,1437027
433129,62,43312900,433130
356643,239,35664300,356644
1162120,502,116212000,1162121
1528385,576,152838500,1528386
1403175,116,140317500,1403176
138886,93,13888600,138887
1881784,291,188178400,1881785
1367445,78,136744500,1367446
1575468,749,157546800,1575469
377376,444,37737600,377377
142045,726,14204500,142046
1992635,584,199263500,1992636
1587727,875,158772700,1587728
1904636,710,190463600,1904637
550551,777,55055100,550552
1716349,808,171634900,1716350
1265789,378,126578900,1265790
874272,478,87427200,874273
399792,239,39979200,399793
743556,260,74355600,743557
1752961,982,175296100,1752962
1449166,170,144916600,1449167
992271,722,99227100,992261
743018,844,74301800,743019
24956,783,2495600,24957
1237071,555,123707100,1237072
1547056,708,154705600,1547057
1907935,368,190793500,1907936
387074,363,38707400,387075
901103,495,90110300,901104
1822708,368,182270800,1822709
1836505,138,183650500,1836506
694424,918,69442400,694425
1338572,587,133857200,1338573
626076,267,62607600,626077
42089,944,4208900,42090
564424,974,56442400,564425
1207821,448,120782100,1207822
818626,278,81862600,818627
437276,416,43727600,437277
1655325,250,165532500,1655326
1270135,899,127013500,1270136
1320653,373,132065300,1320654
1567299,817,156729900,1567300
175426,775,17542600,175416
1972960,879,197296000,1972961
1437174,338,143717400,1437175
1453914,346,145391400,1453915
1069374,689,106937400,1069375
886250,262,88625000,886251
1743408,20,174340800,1743409
1573798,28,157379800,1573799
420496,529,42049600,420497
621300,371,62130000,621301
130396,627,13039600,130397
1347007,938,134700700,1347008
1358008,842,135800800,1357998
109069,400,10906900,109070
1557287,381,155728700,1557288
1143499,417,114349900,1143500
950750,798,95075000,950751
486656,59,48665600,486657
1779372,350,177937200,1779373
627109,921,62710900,627110
707665,788,70766500,707666
273917,668,27391700,273918
324535,316,32453500,324536
1479144,585,147914400,1479145
27652,548,2765200,27653
1987155,467,198715500,1987156
1555923,130,155592300,1555924
1714826,578,171482600,1714827
1195585,438,119558500,1195586
905184,964,90518400,905185
1334382,533,133438200,1334383
637328,901,63732800,637329
669244,751,66924400,669245
968394,888,96839400,968395
1709698,878,170969800,1709699
705754,277,70575400,705755
1399567,131,139956700,1399568
521295,996,52129500,521296
1424580,761,142458000,1424581
280351,192,28035100,280352
900442,675,90044200,900443
34743,213,3474300,34744
1533735,999,153373500,1533736
362242,941,36224200,362243
1789194,890,178919400,1789195
805238,48,80523800,805239
385991,877,38599100,385992
882808,325,88280800,882798
343558,934,34355800,343559
298049,9,29804900,298050
1721442,24,172144200,1721443
1451412,113,145141200,1451413
1715414,278,171541400,1715415
624701,377,62470100,624702
702818,909,70281800,702819
1594970,160,159497000,1594971
1155520,870,115552000,1155521
1560421,319,156042100,1560422
333909,574,33390900,333910
900654,308,90065400,900655
1462930,297,146293000,1462920
902081,27,90208100,902082
1303351,427,130335100,1303352
347831,388,34783100,347832
111453,237,11145300,111454
1876388,139,187638800,1876389
1722736,749,172273600,1722737
837704,647,83770400,837705
1554057,394,155405700,1554058
674675,635,67467500,674676
469273,879,46927300,469274
866171,529,86617100,866172
65620,253,6562000,65621
868775,363,86877500,868776
591609,865,59160900,591610
98578,967,9857800,98579
1375270,533,137527000,1375271
123020,963,12302000,123021
629424,786,62942400,629425
1744597,571,174459700,1744598
116115,90,11611500,116116
1879322,919,187932200,1879323
1384735,756,138473500,1384736
869744,80,86974400,869745
1030505,966,103050500,1030506
1030165,144,103016500,1030166
1433846,47,143384600,1433847
1607467,700,160746700,1607468
253411,815,25341100,253412
1957560,653,195756000,1957561
813526,814,81352600,813527
1683338,254,168333800,1683339
1857294,715,185729400,1857295
390233,258,39023300,390234
782151,623,78215100,782152
1612559,419,161255900,1612560
431004,259,43100400,431005
1635424,678,163542400,1635425
412668,110,41266800,412669
650727,35,65072700,650728
1747171,199,174717100,1747172
272316,744,27231600,272317
433270,403,43327000,433271
268570,26,26857000,268571
916829,227,91682900,916830
968033,208,96803300,968034
800528,180,80052800,800529
558444,603,55844400,558445
143415,740,14341500,143416
1977357,366,197735700,1977358
900640,459,90064000,900641
460410,212,46041000,460411
243019,321,24301900,243020
1209684,611,120968400,1209685
1687590,154,168759000,1687591
269803,136,26980300,269804
1548716,375,154871600,1548717
174111,734,17411100,174112
252362,942,25236200,252352
1856878,801,185687800,1856879
985656,829,98565600,985657
813645,252,81364500,813646
469908,275,46990800,469909
1406598,262,140659800,1406599
226601,389,22660100,226602
527314,159,52731400,527315
639882,979,63988200,639883
574980,168,57498000,574981
194586,252,19458600,194587
1963177,594,196317700,1963178
1631130,488,163113000,1631131
915468,884,91546800,915469
131821,63,13182100,131822
836580,512,83658000,836581
332751,794,33275100,332741
544577,506,54457700,544578
975768,228,97576800,975769
1111260,610,111126000,1111261
1137665,906,113766500,1137666
544902,235,54490200,544903
1908399,735,190839900,1908400
1900170,303,190017000,1900171
1836943,826,183694300,1836944
408945,157,40894500,408946
2067,514,206700,2068
474399,784,47439900,474400
612373,344,61237300,612374
1063976,633,106397600,1063977
1582570,820,158257000,1582571
835027,607,83502700,835028
1717172,246,171717200,1717173
1658962,99,165896200,1658963
757430,762,75743000,757431
1266421,43,126642100,1266422
33218,664,3321800,33219
939671,399,93967100,939661
1295570,881,129557000,1295571
1418840,281,141884000,1418841
791860,571,79186000,791861
1595894,393,159589400,1595895
761404,440,76140400,761405
1051607,303,105160700,1051608
270479,57,27047900,270480
934822,82,93482200,934823
729939,590,72993900,729940
1785198,852,178519800,1785199
1726806,735,172680600,1726796
255878,800,25587800,255879
1541907,160,154190700,1541908
478132,267,47813200,478133
1231988,126,123198800,1231989
329208,714,32920800,329209
1213464,634,121346400,1213465
52513,686,5251300,52514
558618,42,55861800,558619
636258,163,63625800,636259
1283066,289,128306600,1283067
655387,559,65538700,655388
28594,926,2859400,28595
898860,603,89886000,898861
1298360,586,129836000,1298361
656729,893,65672900,656730
1699343,786,169934300,1699344
365034,641,36503400,365035
1680994,987,168099400,1680995
1219601,438,121960100,1219602
1226595,797,122659500,1226596
1542924,830,154292400,1542925
1816143,570,181614300,1816144
356529,141,35652900,356530
1642219,661,164221900,1642220
1710990,69,171099000,1710991
868476,126,86847600,868477
1028839,136,102883900,1028840
1365366,439,136536600,1365367
1518459,322,151845900,1518460
305585,480,30558500,305586
1919629,357,191962900,1919630
675700,381,67570000,675701
1255255,701,125525500,1255256
1154729,161,115472900,1154730
44594,84,4459400,44595
1724669,988,172466900,1724659
1581007,589,158100700,1581008
736271,938,73627100,736272
1442351,35,144235100,1442352
1083395,287,108339500,1083396
289844,356,28984400,289845
447096,383,44709600,447097
1644837,692,164483700,1644838
322955,869,32295500,322956
268747,267,26874700,268748
1888547,866,188854700,1888548
1217304,341,121730400,1217305
1540099,515,154009900,1540100
1100547,654,110054700,1100548
1551429,502,155142900,1551430
659032,518,65903200,659033
958994,274,95899400,958995
449710,960,44971000,449711
585758,11,58575800,585759
890726,959,89072600,890727
406875,661,40687500,406876
403859,913,40385900,403860
1064401,615,106440100,1064402
1658322,256,165832200,1658323
1579596,812,157959600,1579597
1735553,867,173555300,1735554
791716,205,79171600,791717
1752365,712,175236500,1752366
1076100,886,107610000,1076101
1594743,8,159474300,1594744
783559,76,78355900,783560
246516,371,24651600,246517
812647,740,81264700,812648
771932,998,77193200,771933
1894816,692,189481600,1894817
1334369,189,133436900,1334370
124797,635,12479700,124798
47566,44,4756600,47567
1483667,228,148366700,1483668
1849033,838,184903300,1849034
533809,289,53380900,533810
305562,365,30556200,305563
1753562,927,175356200,1753563
1800198,209,180019800,1800199
1110743,455,111074300,1110744
1831964,924,183196400,1831965
204664,956,20466400,204665
24923,826,2492300,24924
1125559,971,112555900,1125560
1695543,191,169554300,1695544
1183505,740,118350500,1183506
1630949,53,163094900,1630950
1511654,993,151165400,1511655
1312764,717,131276400,1312765
1739994,536,173999400,1739995
201195,369,20119500,201196
1938240,413,193824000,1938241
874564,484,87456400,874565
544127,373,54412700,544128
592563,60,59256300,592564
142984,855,14298400,142985
806601,685,80660100,806602
759764,470,75976400,759765
171095,639,17109500,171096
1194676,451,119467600,1194677
1827227,858,182722700,1827228
925496,565,92549600,925497
1352161,952,135216100,1352162
11709,397,1170900,11710
1878105,939,187810500,1878106
119113,168,11911300,119114
983406,775,98340600,983407
1113428,829,111342800,1113429
712869,146,71286900,712870
151702,380,15170200,151703
35879,251,3587900,35880
1219485,706,121948500,1219486
1742293,471,174229300,1742294
829315,162,82931500,829316
1620416,110,162041600,1620417
1016988,547,101698800,1016989
1411204,51,141120400,1411205
1147898,674,114789800,1147899
642052,638,64205200,642053
1245604,995,124560400,1245605
365558,545,36555800,365548
1575940,531,157594000,1575941
493090,574,49309000,493091
1522383,211,152238300,1522384
443118,182,44311800,443119
420782,684,42078200,420783
649838,418,64983800,649839
881589,283,88158900,881590
1062901,601,106290100,1062902
758463,981,75846300,758464
170630,148,17063000,170631
1894015,679,189401500,1894016
1674064,186,167406400,1674065
1940862,32,194086200,1940863
314404,638,31440400,314405
799921,738,79992100,799922
1541637,847,154163700,1541638
625715,46,62571500,625716
884690,863,88469000,884691
1819796,249,181979600,1819797
709325,742,70932500,709326
168373,950,16837300,168374
473489,637,47348900,473490
830365,627,83036500,830366
1541366,387,154136600,1541367
1350469,433,135046900,1350470
989884,54,98988400,989885
1767014,928,176701400,1767015
1809934,357,180993400,1809935
695144,983,69514400,695145
566935,102,56693500,566936
950025,266,95002500,950026
1861946,498,186194600,1861947
1676900,985,167690000,1676901
439735,257,43973500,439736
1411388,847,141138800,1411389
402003,715,40200300,402004
831687,692,83168700,831688
314036,983,31403600,314037
208140,245,20814000,208141
1832922,396,183292200,1832923
277299,143,27729900,277300
854902,508,85490200,854903
838470,118,83847000,838471
1956374,965,195637400,1956375
1884459,546,188445900,1884460
1755927,937,175592700,1755928
1345358,497,134535800,1345359
584752,62,58475200,584753
991800,932,99180000,991801
860530,570,86053000,860531
1231599,908,123159900,1231600
1445695,383,144569500,1445696
737621,877,73762100,737622
1702190,187,170219000,1702191
1092043,187,109204300,1092044
291492,601,29149200,291493
1420249,912,142024900,1420250
459719,262,45971900,459720
196421,308,19642100,196422
522106,54,52210600,522107
199959,808,19995900,199960
1415565,452,141556500,1415566
1389123,359,138912300,1389124
228602,369,22860200,228603
1437496,331,143749600,1437497
1246243,395,124624300,1246244
1679458,156,167945800,1679459
351021,240,35102100,351022
1834545,788,183454500,1834546
900205,861,90020500,900206
506961,244,50696100,506962
889896,435,88989600,889897
1589715,51,158971500,1589716
1316230,257,131623000,1316231
853007,53,85300700,853008
1309110,513,130911000,1309111
1256752,893,125675200,1256753
339272,497,33927200,339273
1360360,488,136036000,1360361
1756366,846,175636600,1756367
1300839,128,130083900,1300840
652994,315,65299400,652995
936675,126,93667500,936676
1416397,4,141639700,1416398
611729,455,61172900,611730
1767754,257,176775400,1767755
1883841,883,188384100,1883842
707434,864,70743400,707435
1778176,237,177817600,1778177
25138,507,2513800,25139
908985,411,90898500,908986
444543,266,44454300,444544
947502,341,94750200,947503
1303945,341,130394500,1303946
1260155,111,126015500,1260156
1291513,80,129151300,1291514
1056377,191,105637700,1056378
1489895,769,148989500,1489896
1807144,694,180714400,1807145
1616340,332,161634000,1616341
883623,51,88362300,883624
85537,42,8553700,85538
1444902,625,144490200,1444903
913106,710,91310600,913107
1943915,187,194391500,1943916
92259,597,9225900,92260
1179958,515,117995800,1179959
1933427,575,193342700,1933428
554140,473,55414000,554141
1532107,398,153210700,1532108
361601,229,36160100,361602
1946226,740,194622600,1946227
1080201,276,108020100,1080202
1809863,303,180986300,1809864
943219,969,94321900,943220
1000919,486,100091900,1000920
919391,264,91939100,919392
37753,302,3775300,37754
589486,234,58948600,589476
1607756,593,160775600,1607757
416178,57,41617800,416179
161751,458,16175100,161752
931729,973,93172900,931730
31279,664,3127900,31280
1532526,635,153252600,1532527
1976926,739,197692600,1976927
1819203,72,181920300,1819204
427224,926,42722400,427225
387422,127,38742200,387423
1165389,691,116538900,1165390
443470,431,44347000,443471
1483963,18,148396300,1483964
1862703,113,186270300,1862704
1367836,73,136783600,1367837
1212484,227,121248400,1212485
1307797,338,130779700,1307798
489173,664,48917300,489174
1794717,844,179471700,1794718
306852,715,30685200,306853
628601,655,62860100,628602
1589779,794,158977900,1589780
753830,623,75383000,753831
1165359,74,116535900,1165360
72441,495,7244100,72442
1859888,185,185988800,1859889
1954233,414,195423300,1954234
1563454,927,156345400,1563455
773008,635,77300800,773009
1400945,987,140094500,1400946
633543,16,63354300,633544
289262,951,28926200,289263
510184,358,51018400,510185
1971509,287,197150900,1971510
1394231,424,139423100,1394232
725661,708,72566100,725662
871445,14,87144500,871446
1419933,820,141993300,1419934
277137,1,27713700,277138
401448,818,40144800,401449
1435753,333,143575300,1435754
613224,414,61322400,613225
366658,338,36665800,366659
966320,903,96632000,966321
1542019,68,154201900,1542020
1530813,869,153081300,1530814
1637737,299,163773700,1637738
932040,510,93204000,932041
804989,959,80498900,804990
927962,146,92796200,927963
1745594,460,174559400,1745595
966683,725,96668300,966684
1837324,95,183732400,1837325
423903,454,42390300,423904
1701906,196,170190600,1701907
798362,191,79836200,798363
1444337,715,144433700,1444338
1897173,995,189717300,1897174
611317,983,61131700,611318
1111320,729,111132000,1111321
245539,324,24553900,245540
36634,490,3663400,36635
1091708,20,109170800,1091709
667759,691,66775900,667760
1881294,333,188129400,1881295
1551212,932,155121200,1551213
1490362,637,149036200,1490363
1836222,189,183622200,1836212
1798982,134,179898200,1798983
1016488,908,101648800,1016489
1343296,749,134329600,1343297
1396302,9,139630200,1396303
1138039,265,113803900,1138040
159338,177,15933800,159339
1044443,806,104444300,1044444
1206479,637,120647900,1206480
1467342,337,146734200,1467343
1438149,34,143814900,1438150
33869,34,3386900,33870
1132099,755,113209900,1132100
1120014,370,112001400,1120004
456338,114,45633800,456339
1815195,749,181519500,1815196
783405,389,78340500,783406
372802,954,37280200,372803
1508107,337,150810700,1508108
1433387,160,143338700,1433388
1751359,609,175135900,1751360
832232,986,83223200,832233
1594366,324,159436600,1594367
633413,220,63341300,633414
920528,61,92052800,920529
1059673,446,105967300,1059674
236591,729,23659100,236592
376654,866,37665400,376655
1708437,322,170843700,1708438
905104,227,90510400,905105
272232,104,27223200,272233
1750663,308,175066300,1750664
928251,152,92825100,928252
190556,209,19055600,190557
863460,424,86346000,863461
997849,208,99784900,997850
1958437,638,195843700,1958438
919588,931,91958800,919589
629428,264,62942800,629429
582186,592,58218600,582187
1536850,858,153685000,1536851
1368499,845,136849900,1368500
403876,48,40387600,403877
1105562,591,110556200,1105563
1585486,118,158548600,1585487
463503,658,46350300,463504
1464905,839,146490500,1464906
935003,639,93500300,935004
661693,488,66169300,661683
85839,790,8583900,85840
113097,230,11309700,113098
310078,958,31007800,310079
1571697,661,157169700,1571698
909274,19,90927400,909275
1397561,820,139756100,1397562
1973778,349,197377800,1973779
216440,433,21644000,216441
452396,169,45239600,452397
274707,523,27470700,274708
1872911,544,187291100,1872912
965545,726,96554500,965546
1550667,405,155066700,1550668
171094,192,17109400,171095
241934,954,24193400,241935
1313537,248,131353700,1313538
1585154,496,158515400,1585155
1701953,747,170195300,1701954
1194812,97,119481200,1194813
1204009,669,120400900,1204010
1367581,53,136758100,1367582
1150386,822,115038600,1150387
268882,976,26888200,268883
128412,585,12841200,128413
1513411,856,151341100,1513412
1331499,222,133149900,1331500
836059,975,83605900,836060
748432,837,74843200,748433
1806890,293,180689000,1806891
845632,821,84563200,845633
8986,82,898600,8987
650882,511,65088200,650883
614956,273,61495600,614957
384916,297,38491600,384917
120334,267,12033400,120335
1816205,60,181620500,1816206
460914,318,46091400,460915
1204599,913,120459900,1204600
751608,65,75160800,751609
1114332,11,111433200,1114333
859530,263,85953000,859531
837256,197,83725600,837257
627626,466,62762600,627627
909316,300,90931600,909317
23669,109,2366900,23670
1721581,194,172158100,1721582
635609,358,63560900,635610
1861100,979,186110000,1861101
767221,557,76722100,767222
2492,112,249200,2493
926686,289,92668600,926687
998045,86,99804500,998046
1928012,749,192801200,1928013
1599851,400,159985100,1599852
1657572,9,165757200,1657573
583038,577,58303800,583039
1709265,370,170926500,1709266
1550506,226,155050600,1550496
1795628,366,179562800,1795629
1490335,985,149033500,1490336
32769,794,3276900,32770
1864120,882,186412000,1864121
1338956,357,133895600,1338957
1848079,670,184807900,1848080
1575069,21,157506900,1575070
354429,76,35442900,354430
1204380,228,120438000,1204381
1970096,23,197009600,1970097
1835548,99,183554800,1835538
692422,103,69242200,692423
1436263,131,143626300,1436264
17533,483,1753300,17534
581002,376,58100200,581003
1135716,293,113571600,1135717
1633345,601,163334500,1633346
1255250,515,125525000,1255251
859736,134,85973600,859737
1017239,886,101723900,1017240
852045,763,85204500,852046
1519417,305,151941700,1519418
476877,380,47687700,476878
1802231,364,180223100,1802232
1544584,70,154458400,1544585
277406,416,27740600,277407
233614,964,23361400,233615
1904667,955,190466700,1904668
1094672,53,109467200,1094673
90387,407,9038700,90388
283250,419,28325000,283251
1867082,684,186708200,1867083
1895402,190,189540200,1895403
1728355,785,172835500,1728356
765101,781,76510100,765102
974490,998,97449000,974491
614803,144,61480300,614804
1556057,31,155605700,1556058
615750,340,61575000,615751
985858,296,98585800,985859
581377,646,58137700,581378
1877345,790,187734500,1877346
807541,542,80754100,807531
1539802,82,153980200,1539803
97521,710,9752100,97522
1419267,877,141926700,1419268
1732778,344,173277800,1732779
920054,280,92005400,920055
1416267,849,141626700,1416268
1428214,942,142821400,1428215
558217,554,55821700,558218
1038923,451,103892300,1038924
998944,740,99894400,998945
1477241,829,147724100,1477242
1749870,266,174987000,1749871
126950,730,12695000,126951
1691518,664,169151800,1691519
545268,440,54526800,545269
1094052,701,109405200,1094053
1386007,510,138600700,1386008
528172,27,52817200,528173
680757,582,68075700,680758
1837378,892,183737800,1837379
329812,378,32981200,329813
141199,468,14119900,141200
370042,395,37004200,370043
553884,479,55388400,553885
1124533,399,112453300,1124534
1676559,435,167655900,1676560
1262883,674,126288300,1262884
254284,721,25428400,254285
133498,465,13349800,133499
1532931,81,153293100,1532932
602804,74,60280400,602805
1347980,676,134798000,1347981
1971847,710,197184700,1971848
1201535,823,120153500,1201536
879173,890,87917300,879174
1563580,142,156358000,1563581
1084725,252,108472500,1084726
167441,143,16744100,167442
735634,306,73563400,735635
1413628,258,141362800,1413629
1737697,562,173769700,1737698
986125,632,98612500,986126
128611,963,12861100,128612
1441157,422,144115700,1441158
872736,447,87273600,872737
974987,60,97498700,974988
242071,602,24207100,242072
1112528,929,111252800,1112529
1279270,523,127927000,1279271
701559,82,70155900,701560
611610,47,61161000,611611
717845,901,71784500,717846
1939860,644,193986000,1939861
311935,533,31193500,311936
506418,753,50641800,506419
1589790,546,158979000,1589791
1382832,271,138283200,1382833
1013981,4,101398100,1013982
1680667,978,168066700,1680668
325821,797,32582100,325822
1619384,735,161938400,1619385
528120,281,52812000,528121
175499,487,17549900,175500
46829,2,4682900,46830
320293,696,32029300,320294
1751991,482,175199100,1751992
1226234,579,122623400,1226235
1361033,317,136103300,1361034
344311,255,34431100,344312
1182401,45,118240100,1182402
1450941,464,145094100,1450942
1013446,318,101344600,1013447
1731162,199,173116200,1731163
756173,441,75617300,756174
1740150,999,174015000,1740151
254717,622,25471700,254718
1830422,674,183042200,1830423
786523,785,78652300,786524
870122,132,87012200,870123
1183949,147,118394900,1183950
584382,8,58438200,584383
